layer,metric,mean,max,std,last_value,last_iteration
10,fc2_activation_underflows%,0.007493161231884059,0.0086,0.0001674277459501041,0.0074,22070
11,fc2_activation_underflows%,0.007580298913043479,0.0087,0.00013175646328474606,0.0076,22070
12,fc2_activation_underflows%,0.007393206521739131,0.0087,0.00017707037686333197,0.0073,22070
13,fc2_activation_underflows%,0.0075712862318840606,0.0088,0.0001920008249083733,0.0075,22070
14,fc2_activation_underflows%,0.008049184782608697,0.0093,0.0001717715110844977,0.008,22070
15,fc2_activation_underflows%,0.00885883152173913,0.0099,0.000145383241683599,0.0089,22070
16,fc2_activation_underflows%,0.00936856884057971,0.0104,0.00015174364536473398,0.0093,22070
17,fc2_activation_underflows%,0.009773143115942028,0.0108,0.00016308282158085285,0.0097,22070
18,fc2_activation_underflows%,0.01117740036231884,0.012,0.00013317474761634756,0.0111,22070
19,fc2_activation_underflows%,0.01183894927536232,0.0126,0.00014463735617873598,0.0118,22070
20,fc2_activation_underflows%,0.0127692481884058,0.0135,0.00014010474428595722,0.0127,22070
21,fc2_activation_underflows%,0.013312092391304348,0.0141,0.00015588026080967524,0.0132,22070
22,fc2_activation_underflows%,0.013850769927536232,0.0145,0.0001462082158283466,0.0137,22070
23,fc2_activation_underflows%,0.014508288043478262,0.015,0.00016471519653434084,0.0143,22070
24,fc2_activation_underflows%,0.014746603260869568,0.0153,0.00012642396802154822,0.0146,22070
25,fc2_activation_underflows%,0.015550951086956522,0.016,0.00012407884918230294,0.0154,22070
26,fc2_activation_underflows%,0.016760643115942025,0.0174,0.00013092312235463808,0.0166,22070
27,fc2_activation_underflows%,0.018574999999999998,0.0193,0.00010812065957826638,0.0187,22070
28,fc2_activation_underflows%,0.022490760869565217,0.0243,0.0006136092580669469,0.0233,22070
29,fc2_activation_underflows%,0.4184295289855073,0.9068,0.209799139916063,0.7379,22070
30,fc2_activation_underflows%,15.23617024456522,18.7161,2.7573461162913913,18.616,22070
3,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
4,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
5,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
6,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
7,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
8,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
9,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
10,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
11,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
12,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
13,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
14,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
15,fc2_gradient_underflows%,0.0,0.0,0.0,0.0,22070
